slope_deg,elevation_m,rainfall_7day_mm,soil_type,landslide_probability
15.26,936.72,111.59,Clay,0.4191276440492797
35.46,1916.21,224.06,Silt Loam,0.8391094295427558
18.69,1544.39,172.32,Loam,0.5844195221903953
12.84,1317.72,137.27,Clay Loam,0.4579250249542408
1.57,565.23,70.92,Loam,0.17167998608119853
2.0,565.19,62.99,Clay,0.19546877600181153
5.74,398.74,41.64,Sandy Loam,0.14936443036369298
26.38,1772.5,171.23,Clay,0.722914390217373
16.16,1321.9,127.39,Clay,0.4999559729189655
21.02,1503.72,165.14,Silt Loam,0.6029926359157155
6.29,334.99,34.08,Silt Loam,0.15434032043363788
33.04,1948.85,215.39,Sandy Loam,0.8019903079710302
27.41,1715.15,185.64,Silt Loam,0.7180815127772917
6.67,660.98,79.8,Sandy Loam,0.21428906821616756
12.64,609.1,74.82,Sandy Loam,0.24848958766301313
2.49,611.79,66.7,Sandy Loam,0.1685663574003995
16.92,817.21,97.6,Silt Loam,0.36276022346743647
18.89,1192.09,143.61,Clay,0.5447139085391761
13.88,1034.31,102.54,Loam,0.35220792508472687
22.41,795.09,68.56,Loam,0.3525491500845906
15.52,1340.15,151.16,Loam,0.4896174331954134
2.97,537.14,73.21,Silt Loam,0.18849988748123342
3.77,796.65,74.9,Loam,0.20607171744113353
17.22,922.82,92.05,Clay,0.40237372156526047
23.95,1075.32,103.89,Loam,0.46134833381298185
35.05,1634.8,156.26,Clay,0.7601100221810803
12.91,639.45,72.69,Silt Loam,0.2693774886948116
16.5,1174.2,121.68,Sandy Loam,0.41492394396662935
18.32,1307.1,127.88,Silt Loam,0.4846008171807284
0.0,378.97,42.73,Loam,0.1264040226179447
30.84,1332.83,136.52,Sand,0.5852268844946932
8.14,589.89,75.61,Clay Loam,0.2405379074909334
0.0,410.59,52.21,Silt Loam,0.14205575498514134
38.9,1913.11,209.56,Sand,0.8156986065034082
27.97,1941.57,202.36,Sandy Loam,0.747168604977032
29.52,1674.28,146.82,Clay Loam,0.6826700109079665
9.49,817.84,101.46,Sand,0.25946126232389966
6.51,466.04,71.03,Clay Loam,0.21288574813690506
22.95,1463.2,145.17,Sandy Loam,0.5578620581496685
